eventId,eventTitle,eventFire,eventExplicit,eventAlcohol,eventHumanLocation,eventDays,eventDescription
event011,All Hallows Gala - A Masquerade,Y,,Y,"Odditorium, Dracula's Lair | Site 19, 20, 21",Friday,"Witches, Vampires, Ghouls and Ghosts! For a bloody good time, Odditorium will host! Don a mask if you'd please, and perhaps if you'd like, Reveal to all by the end of the night!"
event012,Annual Mai Tai Awesomeness,,,Y,"Drink, Bitch. | Site 109",Saturday,"Come by for a non-authentic made-from-scratch bastarization of the Trader Vic's classic, but fabulous nonetheless. Or fill your glass with something else we have. Yum. If you had these last year, you know."
event013,Arch of Arachnids,,,,Art Grants | Site 30,"Wednesday, Thursday, Friday, Saturday","Summer and Halloween found their passion in lovely bower at Lucky Lakes. The product of their strange union are due to hatch between Wednesday and Sunday! Please visit the arbor, a tender little place set aside for you to pledge your affections, enjoy a relaxing moment, or take a photo. Please do not touch the spiders. They are extremely fragile, made with tiny, pokey little wires, Swarovski lead crystal, vintage beads and some are venomous! Salacious Summerween!"
event014,Art Raffle Extravaganza,,Y,Y,"Odditorium | Site 19, 20, 21",Saturday,Love Art or Make Art? This event is for you. Artists can drop off work they want around 2pm to give away and people can come see the work at 3 and put their name in for a raffle for the items there. Wine and Cheese will provided. Dress to impress!
event015,Authentic Relating Games,,,,"Tea &amp; Strumpets | Site 132, 133",Friday,"It's easy to feel alone in a crowd, even here at Lakes. You're surrounded by intriguing people, but how do you cultivate the deep connections you're craving? Enter AR games. Through guided exercises, practice bringing your full self to the world, while holding space for others to do the same. We all crave to know and be known; come create effortless deep connections!"
event016,Axe First,,,,"Valhalla! | Site 89, 90, 91","Wednesday, Thursday, Friday, Saturday","Come test and hone your skills in the fine art of Axe Throwing in our very own Viking Axe Yard. Do you have what it takes to earn your Axe First pin? *Throw at your own risk, only under Viking supervision*"
event017,Baby Shark Dance Party,,,,dcbbq | Site A,Friday,"Your child LOVES it, you hate it, but we love our children enough to continually sing along, doo doo doo doo doo doo, baby shark doo doo doo doo doo doo Bring your cup of coffee and your child(ren), we will provide lots of Baileys and an hour of baby shark and other children's songs. There might even be some bbq from the smoker.. maybe.. can't promise."
event018,Ballet for Burners,,,,Copycats Costume Camp | Site 123,Friday,"Have you always been curious about ballet? Did you take ballet when you were younger but were scared away by strict teachers? Or do you just want to prance around in a tutu? In any case, you’ll have fun and learn something new in this class! Ballet actually has a lot in common with yoga and flow arts, just with different moves, and set to music! We'll do a mini ballet barre and then some tutu-prancing, focusing on body alignment, feeling your muscles, and expressing yourself using elegant lines. All genders, body types, and ages welcome!"
event019,Ball Wall Decorating,,,,Cuddle Zone | Site 114 (in Safe Zone),Friday,Let your creativity soar with the Bat Wall! Come create cute works of art on foam bats to contribute to the wall or take with you as a memento (or both!) It’s bound to be a fangtastic time!
event020,Beach Picnic Saturday,,,Y,"Thumper | Site 17, 18",Saturday,"Hang out on our colossal picnic blanket, or bring your own! 1950's cookout apparel encouraged. Day music vibes, vodka lemonades, weenies, and a chance of Naturdays."
event021,"Become even more pretty intense, in tents!",,Y,,Pretty in Tents | Site 110,"Thursday, Friday, Saturday","Welcome home. We're all pretty intense here. And thru days of ""primitive camping,"" we emerge, each day and night, pretty, from within our tents. Let us make you even more pretty intense! Visit us for activities and services, or to just be pretty, inside and out -- in our beautiful space! Stop by Gothee House next door for the coffee, art, and music, then come join us for: hair styling, braids, flowers, UV and ""intense"" makeup, essential oil cool mist, nail painting, makeup, face, body decor (paint, henna), massages and musings, costuming ideas, assistance,and more!"
event022,Beginning AcroYoga,,,,"Capn Nemo’s Flaming Carnival | Site 56, 57, 58, 59",Thursday,"Wanna learn cool tricks, make great photos, meet beautiful people? Come out and learn the basics of Acroyoga from Hardware and Jadey Bird. No partners or experience required. A reasonable level of physical moment and fitness is required."
event023,Black Dragon Goth Night,,Y,,Green Dragon Lounge | Site K2,Thursday,"White on black translucent black cape, dance over my friend. Its goth night at the Green Dragon lounge The Dragon Bar will be open lets get dark and twisted."
event024,Blinky Light Glee Time!,,,,Bikes and Brews | Site K3,"Friday, Saturday","Have you fallen down the blinky light rabbit hole and love geeking out about them? Looking to learn more (or teach others) about the wonders of Arduino, ESP8266, Raspberry Pi, and addressable LEDs? Come by Bikes &amp; Brews and geek out with Not Applicable about her LEDs (or drag her to show off your lights!)"
event025,bLoOdY bRuNcH WiTh MaRy,,,Y,Intergalactic Art Movement (IAM) | Site 70,"Wednesday, Thursday, Friday, Saturday, Sunday","the password is bloody Mary, spoken 3 infinity times in front of the infinity mirror to enjoy a bloody with Mary"
event026,Bloody Ticks at the Snickerin' Tick Tavern,,,Y,Tick Town | Site 53,"Thursday, Friday, Saturday","Who makes the best ever Bloody Ticks??? Your favorite Ticks from the Snickerin' Tick Tavern of course!!! Come ""Spin the Wheel"" and enjoy your breakfast of champians. Tick Town loves YOU!"
event027,Body Painting Workshop,,,,Safe Zone | Site 114,Friday,"Your body is a temple - let’s paint the walls! Our witchy body painters would love to adorn you with blessings and protection by covering your skin with art. Come share your intention and have us paint you with your own custom sigil, or let us choose some art that matches your aura! If being painted by our artists isn’t your thing, we’ll have paints available so you can make your very own body art! Come get spiritual, creative and... a little messy."
event028,Boogie Down With Spencer and Friends,,,,"Boogie Woogie Cabaret | Site 39, 40, 41",Thursday,"Come see camp troubadour Spencer and four of his musical friends in a live band performance! Real people, real instruments, real jokes about whatever nonsense he's gotten into that day! Bring an instrument and become Spencer's new friend! Or just come and boogie down!"
event029,BOOM!,Y,,,Lucky Lake | Site Lucky Lake,Saturday,This is your thirty minute warning until conclave.
event030,BOOM! Again,Y,,,Lucky Lake | Site Lucky Lake,Saturday,15 minutes until conclave.
event031,Bosa Nova and Mimosas,,,Y,Pleasure House | Site E,Friday,Come share in the sounds of Brasil with a sweet alcoholic treat. We will have a variety of mimosa recipes to be sampled with the music of Jobim and Gilberto as a backdrop. We had a fun crowd for last year's Martinis and Mancini so don't miss this chill event!
event032,Boss Ass Bitch Brunch,,,Y,"Burnlesque Presents | Site 63, 64, 65, 66",Saturday,"You don’t have to love us, you don’t even have to like us, but you will respect us. Burnlesque formally invites you bossy bitches to get a little boozy and a little bossy with us, to celebrate all of the hard working femmes of lakes. Bring the sass or we may paint bitch tits on ya."
event033,Brand New Buddy Bench,,,,"Lux Ephemera | Site 67, 68","Wednesday, Thursday, Friday, Saturday, Sunday",Make a brand new buddy at the brand new buddy bench!
event034,Breakfast and Bloodlettings,,,Y,"Videogasm | Site 77, 78, 79",Saturday,"Come fill your stomach with breakfast treats and have your spirit cleansed by the Zombie Pig Lord! Hail Hambo! Feast on Hambo's flesh and experience the communion of bacon! Sample from a delicious array of breakfast favorites including our famous breakfast potatoes with homemade hot sauce, garden herb frittatas, candied maple bacon or regional favorites like Philadelphia scrapple and cast-iron waffles. We'll also have smoothies, sangria and Bloody Carries! (Like Bloody Mary's just a lot more blood…)"
event035,breakfast beers and bj...j (Brazilian Jiu Jitsu),,,Y,"Consortium | Site 135, 136, 137, 138, 139",Friday,"Have you ever asked yourself ""why are those people wearing pajamas look like they are cuddling but choking each other out?"" - you were probably watching Brazilian Jiu Jitsu (BJJ). Bjj is often seen in MMA and is also great for self defense. If you never stepped a foot on a mat (and we will have mats), this is event is for everyone!. The event will begin around noon at Consortium. We will also have on tap a breakfast stout with coffee and vanilla made by BrewBear and Sparkles."
event036,Breast Art Forward,,Y,,"Consortium | Site 135, 136, 137, 138, 139",Thursday,"Bringing you the breastest art at the Lakes! Ambrosia will provide her K cup breasts or bring your own! Washable paints, canvas &amp; paper, and clean up materials provided. Paint breasts and smoosh onto a surface for a one-of-a-kind momento! Despite the size Ambrosia’s breasts are limited. Signups will be available at Consortium in 15 minute increments. 10 minutes to paint and 5 for transfer &amp; cleanup."
event037,Bring yer pal wash &amp; rub foot station,,,Y,"Camp One More Thing | Site 119, 120, 121","Thursday, Friday, Saturday","Bring your friend....soak &amp; wash your own narley feet while resting in a chair...then move over to the hammock with your friend &amp; rub lotion of your/their choice on each others feet. Don't forget your cup as we will have a game at our camp bar that awards you some interesting event themed drinks! Assistant available Th F &amp; S 10a-12p to provide fresh water for foot basins, station available all day for self service use."
event038,Brunch of the Gods,,,Y,"Valhalla! | Site 89, 90, 91",Saturday,"A breakfast worthy of the gods. Home cured bacon, fried up hot and crispy, served by a Viking in a pig hat. Put it in your face! Bloody Mary’s served with the freshest condiments, Mimosa’s &amp; Screw Drivers to quench your thirst. Plus, non-alcoholic beverages for the kiddos. Stop, sit, eat, sip."
event039,Bunnicula’s Bloody Mary/Caesar Bar,,,Y,"The Consortium’s Bar | Site 135, 136, 137, 138, 139","Wednesday, Thursday, Friday, Saturday","Bloody Mary’s and their lovely Canadian cousins. We have a nice assortment of items for the construction of your boozy soup including a number of things pickled by Consortium’s Potions Master, Fox, with her own two paws."
event040,Burlesque workshop,,,,"Burnlesque Presents | Site 63, 64, 65, 66",Friday,"What makes you feel sexy? Stop by Burnlesque Presents camp to release your inner burlesque diva! Come shimmy-n- shake, bump-n-grind, and tassel twirl with us while we review basic burlesque choreography! Come pilfer our costume tent for the perfect get up in any size and riffle through our music collection to prepare for an act you will debut later, at our variety show on our very own stage."
event041,Burner Widow Happy Hour,,,Y,Still Bayou | Site 37,"Wednesday, Thursday, Friday, Saturday","Is your partner a super volunteer? A team lead, co lead or board member? The lead of a theme camp? Did you arrive at your burn only to immediately be separated by your partners overzealous volunteerism? You might be a Burner Widow. Come connect with your fellow Burner Widows at Burner Widow Happy Hour while you wait for your person to finish yet another meeting or volunteer shift!"
event042,"Burnlesque Presents: Speak, easy",,,,"Burnlesque Presents | Site 63, 64, 65, 66",Saturday,"Poetry by burners for burners. Words are a vessel to explore and explain personal and universal truths about this cosmic phenomenon. Join Brains Moth and Bert Spunster on the Burnlesque Presents stage if you are interested in delivering poetry! If reading others works, please give credit."
event043,BYOBoat Luxury Cruise,,,,Bermuda Triangle Travel Bureau | Site D,Saturday,"Beat the heat, and join the expert tour guides of the Bermuda Triangle Travel Bureau on a floating tour of Lucky Lake! Hop on your favorite inflatables, or raise your sails and catch some waves with our floatilla. We may even find the last snacks on a desert island! (Departng camp for waterfront by noon thirty. If you're late, find us on the lake)!"
event044,Caffeine Moon,,,,Bermuda Triangle Travel Bureau | Site D,Thursday,"Coffee, tea, or Unidentified Flying Objects? Join the crew of the Bermuda Triangle Travel Bureau at midnight Thursday evening for a hot beverage break of interstellar proportions! Bring your vessel to enjoy some milky way cocoa, and blankets for midnight star-gazing / UFO watch."
event045,Camp Feywild presents Dungeons &amp; Dragons,,,Y,"Boogie Woogie Cabaret | Site 39, 40, 41","Thursday, Friday","experienced players, but open to all. (New? Learn while you play!) Pre-generated characters provided, or bring your own 7th level characters. Clash with kobolds and frolic with fey! Spirited potions provided."
event046,Camp to Camp Overdose Recognition and Response,,,,Everywhere | Site Lucky Lake,"Wednesday, Thursday, Friday, Saturday","Ever wanted to learn how to reverse and recognize an opioid overdose? Lucky for you, harm reductionists are coming your way! SafeT Camp is sending outreach teams from camp to camp to teach you (yes! you!) how to save a life. See us walking around? Say hi and walk away with powerful knowledge and a fist full of naloxone."
event047,Canned Ham Tours,,,,Canned Ham Camp | Site 43,"Thursday, Friday, Saturday, Sunday","It's all about the ham. We eat ham, we live in a ham, we love ham. Our camp is centered on our 1957 Classic Canned Ham Camper. We also have a modern version of the Canned Ham (Spam) Camper on display. Please pay us a visit and we'll give you a tour."
event048,Cap’n Nemo’s Flaming Carnival Spectacular,Y,,,"Capn Nemo’s Flaming Carnival | Site 56, 57, 58, 59",Friday,"The flames come out as the sun begins to set on our beloved SoBe. Along with fire performances all of our flames will be lighting up the sky. With such amazements as Loki, our trickster clown, life-sized Operation and Table Tennis of Fire. Come test your strength on our High Striker and don't get buzzed by the newly improved Zap! The perfect time to push Nemo's buttons. Bring your own cup cover, or try our special ""bug juice"". (It's roasted bugs falling in your juice after after every poof of flame)"
event049,Captain Carrot Dog’s Yacht Rock Revival,,,Y,"Firewater Lounge &amp; Funky Tiki Teahut | Site B and 4, 5, 6","Friday, Saturday","We will be serving up hot carrot dogs and cool yacht rock. Lunch time. Near Firewater Lounge also guesting at the Funky Tiki Teahut Friday or Saturday, depending on their schedule. All captains welcome so be sure to cruise on by with your appetite and a cup."
event050,Capture the Flag Award Ceremony,,,,"Valhalla! | Site 89, 90, 91",Friday,"Have your flags officially counted and see if you win the highly coveted Lakes of Fire Capture the Flag Trophy! There will be snacks, drinks, and a bullhorn!"
event051,Card Readings and Manicures,,,,Nail Witch &amp; Timmy the Oracle  | Site K19,"Thursday, Friday, Saturday","Seeking spiritual guidance? Need a bitchin set of nails? Meet us on the eastern edge of the Keyhole to confer with Timmy the Oracle for a card reading and metaphysical insight, and see the Nail Witch for a sparkly longwear shellac manicure. Come for one or for both; magic and colorful conversation are guaranteed either way. Also featuring custom graffiti art by Eufoe. ♥"
event052,Catfe at the Castle Costume Shop,,,,Copycats Costume Camp | Site 123,Saturday,"A popup Catfe on the grounds of the castle. Visit to see what costumes await you, and then stay a little while at the Catfe, to enjoy some tea, coffee, cold beverage and baked goods. Chat about all things costume! Your favorite type of costume, what it means to you, what costumes you'd like to see in the future at the castle, concerns, etc. Copycats is very much a pass-through experience... but use this time to stay a while longer, linger, introduce yourselves. We want to get to know you!"
event053,Cathedral of Sorrows and Fears,,,,"Gothee House | Site 111, 112, 113","Wednesday, Thursday, Friday",Take time out for solemnity and help us build our miniature effigy -- The Cathedral of Sorrows and Fears. Write your troubles on the pieces you'll use to build the Cathedral and we will cleanse them in fire when we burn the Cathedral on Friday night.
event054,Celtic New Year Coffin Procession and Burn,,,,Gypsy Wolves | Site K20,Friday,"Join the forces of chaos and a procession of Otherworld beings on Mischief Night! Help us close The Celtic Coffin and carry it to the WEE Effigy Burn amidst candlelight, dancing and drumbeats in celebration of Samhain (sow-ihn). We need 6 strong souls as coffin bearers, 4 virgins as torch bearers ;-D, and all the reveling otherworld beings we can gather! We have candles to share and a few extra drums. Bring musical instruments, noisemakers, libations, etc and celebrate the ancient Celtic New Year. Stay to watch the coffin go up in flames!"
event055,Ceramadelics,,,,Art in the Pines | Site D,"Thursday, Friday, Saturday, Sunday","Ceramadelics are interactive translucent porcelain creations designed to enlighten your imagination, seduce your mind and open your soul to a new world of illumination. Inspired by aquatic and botanical organisms this rare undersea garden of earthly pods with cerebral textures and cosmic colors will provide stimulating sensory enhancement in the pines and other dark nooks around the lake. By combining electronics with ceramics we give a synergistic awareness to intricately crafted forms which allow them to pulse and glow with life at night and be visually enchanting in daylight too."
event056,Circe's Shroud (WEE Effigy),,,,"Sphinx Beer Garden | Site 60, 61, 62","Wednesday, Thursday, Friday","Circe's Shroud is a representation of a greek burial shroud that gives burners a space to bury the elements of their life that are standing in the way of the life they are supposed to have. Once excommunicated, Demigod and Witch, Circe began a journey to find herself and banned from her life any elements (people, ideals, items) that made her life less then. Circe's Shroud allows burners to relieve themselves of these elements and become more of their natural selves."
event057,Circe's Soiree,,,,"Sphinx Beer Garden | Site 60, 61, 62",Thursday,"Join Sphinx’s Beer Garden for Circe’s Soiree. Circe, a once excommunicated demigod and witch of Greek Mythology, will be hosting a wicked dance party on Thursday evening. The Soiree will begin with a ritual sacrifice of the elements you want to release from this past year into Circe's burial shroud, a Wee Effigy to be burned Friday night. Dress in your wickedest witchy attire and join Circe to dance with nature, offer a sacrifice to the gods, devour some poison TeaHC, and transform men (women/humans) into pigs!"
event058,Club Dancing for Wallflowers,,,,"Tea &amp; Strumpets | Site 132, 133",Saturday,"Ever want to join in on the dance floor... but not sure how to start grooving to the music? Feel self-conscious or awkward moving your body, or too anxious in crowds? Come learn and play with some dance basics in a chill space. All genders, body types, neurodiversities and physical abilities welcome!"
event059,COCKtails @ Just the Tip,,,Y,"Camp Natural Weener | Site 25, 26","Thursday, Friday, Saturday",Come have a wonderful Summerweener night with us at the Just the Tip bar! We will be serving special Cocktails and have some phun phallic games for you to play. The best part is you get to hang out with us and we won’t ask for anything! Well... maybe just a tip...
event060,Coffee,,,,Green Dragon Lounge | Site K2,"Thursday, Friday, Saturday",Coffee - served regular or GDL style
event061,Coffee Talk with Doktor Dragon,,,,Green Dragon Lounge | Site K2,Thursday,"We talk about religion, politics drugs the meaning of life no big woop"
event062,Come Play With Our Toys!,,,,"Tahitian Isles: Funky Tiki Teahut Dome | Site 4, 5, 6","Thursday, Friday","Come play with our toys! We have stilts, a Cyr wheel, hoops, devil stix and bubble machines!"
event063,Commitment Ceremonies,,,Y,Experimental Family Tree  | Site K9,Friday,"Join us under the tree for weddings, mock weddings, friendship commitment ceremonies, etc. With the right paperwork, weddings can even be legal as we have an ordained minister in the camp. We will have custom handmade wedding rings for you to choose from, a bouquet you can carry if you wish, and each wedding comes with a complimentary photo package. If you have something special you would like for your ceremony please stop by the Experimental Family Tree earlier in the week and scheme with us, we will make your wedding one to remember."
event064,COMMODIFICATION! Making a living as an artist,,,,"Boogie Woogie Cabaret | Site 39, 40, 41",Thursday,"Many of us come to burns because we love making art, but how do you transition into making a full-time living from your art? If you've ever considered leaving your paycheck behind to join the world of full time creatives, come to an interactive talk and Q&amp; A with Thor, professional figure sculptor, Jeff Z, of Pieces of my Art, mosaic artist in Chicago, and Olive, owner of Harmonic Threads in Detroit."
event065,Conclave Choreography Practice,Y,,,The Playground | Site 134,"Thursday, Friday","Get into character and rehearse for Conclave! We'll go through the show a couple of times to insert choreography and figure out the order of performances. Rehearsal is not 100% required in order to participate in the conclave, however, if you plan on performing partner or group choreography, please join us at least one of the meetings. Contact chrissiebingham@gmail.com if you have questions!"
event066,Cool Juggling Things,,,,"Odditorium | Site 19, 20, 21","Thursday, Friday",A workshop on juggling variations and styles. All levels welcome. Props available for use.
event067,Cops and Donuts,,,Y,Bikes and Brews | Site K3,Wednesday,Halt! By entering our zone you are subject to search and seizure. You will be submitted to a field sobriety test. Assume the position and spreadem. Hope ya like handcuffs and cider donuts.
event068,Costume Shop,,,,Copycats Costume Camp | Site 123,"Wednesday, Thursday, Friday, Saturday, Sunday","Handmade tutus and upcycled creations by Copycats, and thrift shop finds. Come find something with character, to wear for Summerween! During your visit, interact with the castle knights and magic mirrors. Be sure to see our volunteers for help fitting, as some costumes made by Copycats are made in multi-sizes and will convert to fit you. Plus bring the kids! We have a children's costume section!"
event069,Coyote's Mocktail Hour,,,,"Dewey Decibels | Site 27, 28, 29, 30",Friday,Come get dancey and fancy to help me celebrate one year of being alcohol free! I'm taking over the Dewey bar to brew up some special sober and all-ages friendly potions to get all your tails a waggin with me!
event070,Cracked out saturday,,,,Green Dragon Lounge | Site K2,Saturday,"Have you done to much, come chill out in the green dragon lounge ."
event071,Cuddle Lounge,,,,Cuddle Zone | Site 114 (in Safe Zone),"Wednesday, Thursday, Friday, Saturday, Sunday","Looking for a chance to relax and lounge with friends? Visit camp safe zone during snuggle hours for a low-stress get away in a touch friendly, consent centric cozy space. Consent based conversations, friends willing to listen, and a safe space to be included in. Check the welcome sign at the front of the space if the snuggle sign is on, we are snuggling!"
event072,Curves Can Tease Too,,,,"Burnlesque Presents | Site 63, 64, 65, 66",Saturday,"Calling all curvy beings interested in saucily showing off their stuff! Learn the basics of the art of strip tease, personal empowerment and put it into action! Bring something you can take off (i.e. jacket, gloves, hat, or even all three!) Come strut your stuff. We know you’ve got it!"
event073,Dance Your Wooden Leg Off,,,Y,"Tortuga | Site 85, 86","Wednesday, Thursday, Friday, Saturday","Pirates, Dance Music, and Drinks. What more could you want? We like to party all night. Come spin our wheel and accept your fate!"
event074,Daydream Bar,,,Y,"The Consortium’s Bar | Site 135, 136, 137, 138, 139","Wednesday, Thursday, Friday, Saturday","This year Consortium brings to you specialty cocktails that change every day (one spritzer, one non-spritzer). Our daytime fair are beverages with no more than 2oz of alcohol and lots of mixer. Light drinks for a smooth daytime buzz."
event075,Day Drunk Karaoke,,,Y,"Camp One More Thing | Site 119, 120, 121",Friday,Come cool down with a tasty drink and rock out to your favorite karaoke song! Random assorted alcoholic and non-alcoholic beverages available! Sloshed singing encouraged!
event076,dcbbq :: Delicious BBQ &amp; Community Smoker,,,,dcbbq | Site A,"Wednesday, Thursday, Friday, Saturday","The dcbbq will smoke and gift hundreds of pounds of delicious BBQ during LoF. Look for the ""Meat Wagon"" cruising around the event, servin' up smokey morsels. Rules: The BBQ is ready when it's ready, and always wait to be served. dcbbq has a dedicated smoker for use by the LoF community. Basic orientation and time slot signup is required; swing by camp and find an authorized dcbbq agent. Rules: We will not babysit your food, and we will not accept donations of unwanted meat/food. Radical self-reliance, y'all!"
event077,dcbbq :: Fajita Workshop,,,,dcbbq | Site A,Friday,"We are doing something a bit different this year - instead of solely focusing on the smoking aspect of our operation, we are offering a grill workshop - let’s make some delicious fajitas! Learn how to make an awesomely fresh, flavorful marinade for flank steak, how to prep it and how to finish it perfectly on the grill. We will also go over some knife skills and how to prep veggies to go on your fajita goodness, and finally we will all enjoy the finished product together. Come to dcbbq and let’s go to flavortown!"
event078,Dead for an Hour,,,Y,"Thumper | Site 17, 18",Saturday,"Deadheads, old &amp; new, come listen to 1 hour of choice Dead recordings on a 20k watt sound system."
event079,Deep Dark late night Ultra lounge,,Y,,Green Dragon Lounge | Site K2,Saturday,Come join Doktor dragon for a deep dark altered experience.
event080,Dinosaur Snow Cones!!,,,Y,Firewater Lounge | Site B,"Thursday, Friday",Who doesn't love dinosaurs and delicious snow cones?!?! Join the Firewater Lounge for cold and sweet treats and take some time to paint our T-Rex Wee Effigy!! YUM and ROAR!!!!
event081,Disco Thursday,,,Y,"Thumper | Site 17, 18",Thursday,Get ready to embrace the sun and groove with some disco vibes. Keep your eyes peeled for a Lucky Hutch popup and treats from the grill. Our bar is open during the afternoon.
event082,DIY DJ,,,,Bikes and Brews | Site K3,Friday,"Come experience what it (must) feel like to be a DJ with none of the groupies, pay or fame. Real talk - its just a music/card game thing"
event083,DIY Face Paint,,,,"Camp Natural Weener | Site 25, 26","Wednesday, Thursday, Friday, Saturday","Enjoy our DIY face-painting station, and/or offer your face-painting services for a spell."
event084,DIY Tattoo Station,,,,LoF Yacht Club | Site 38,"Thursday, Friday, Saturday",Drink &amp; Stitch is bring some supplies to make You the art! An interactive piece in which we supply the rubber stamps &amp; ink and you are the canvas. The table will be set up in front of Village Not Sure each day whenever one of us sobers up enough to do so. It will remain in place till dark for your enjoyment.
event085,DJ Set: Biscuit Hunter,Y,,Y,"Lux Ephemera | Site 67, 68",Thursday,"Biscuit Hunter will take the stage and sound system on a sojourn through soundwaves tracking and hunting biscuits. We intend to provide zero biscuits, but hope above hope that the sonorous vibrations of this set will manifest at least ONE passable biscuit. Come join us and find out!"
event086,DJ Set: Chris Moorehouse,Y,,Y,"Lux Ephemera | Site 67, 68",Friday,"Come dance, or drink, or simply groove to the musical offerings of Chris Moorehouse. He's got songs for you, and you've got ears and feet, ain't ya? come check this out!"
event087,DJ Set: Jack Darko,Y,,Y,"Lux Ephemera | Site 67, 68",Saturday,This guy Jack Darko? He's gonna take over the stage and sound system for a two hour tour... a two hour tour... bring yr ears and get ready to get down with a hard hitting set of some choice cuts.
event088,DJ Set: Sound Shepherd,Y,,Y,"Lux Ephemera | Site 67, 68",Saturday,"Psy-Voyage, anyone? Ready to get introspective while you boogie? it's going down! get over here!"
event089,DJ Set: Syntheticus,Y,,Y,"Lux Ephemera | Site 67, 68",Wednesday,"Syntheticus takes the stage and sound system to bring you on a sonic journey for two full hours. We have no idea exactly what to expect, and we kinda like it like that."
event090,DnD! Mystery Character Tabletop Experience,,,,"Sphinx Beer Garden | Site 60, 61, 62",Friday,Through interaction and role play in the game world you'll uncover clues to who and importantly what your character is. Bring dice paper and a pencil if you wanna.
event091,Dollar Bill Origami,,,,"Drink, Bitch. | Site 109",Friday,"Impress your friends (or not), leave fabulous tips for waitstaff, or just amuse yourself by picking up a new stupid human trick. Bring a few of your own crisp dollar bills and learn how to fold them into interesting shapes like bow ties. You will not be disappointed."
event092,Dragon Bar happy hour,,Y,,Green Dragon Lounge | Site K2,Friday,Candy is dandy liquor is quicker but the dragon lounge has something better
event093,Dragon coffee,,,,Green Dragon Lounge | Site K2,"Thursday, Friday, Saturday",Come visit us for coffee regular or GDL style
event094,Draw with Gothee,,,,"Gothee House | Site 111, 112, 113",Friday,"We've got your blacks. And charcoal greys, and blood reds. Darken a sketch pad at our figure drawing salon with live Goth models. Or come render the relics of our spooky still life collection whenever Gothee House is open."
event095,DrEaM wOrKsHoP hOsTeD bY TeTrA,,,,Intergalactic Art Movement (IAM) | Site 70,Friday,"a dream workshop hosted by the hostess of future dream, TetrA"
event096,"Drink, Bitch! Lemonade Social",,,Y,"Drink, Bitch. | Site 109",Wednesday,"Exhausted from setting up your camp? Just want to wet your whistle? Take a break, and let Drink, Bitch! provide you with cool nummy refreshments. Meet some of the people around you! Alcohol and non-alcoholic drinks served, with snacks. Bring your burner cup! We have stickers for you."
